Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,1199.599976,1203.400024,1194.400024,1195.699951,1195.699951,2729247100
2020-07-28,1197.099976,1198.199951,1152.699951,1152.699951,1152.699951,4094110200
2020-07-29,1156.000000,1159.699951,1121.000000,1135.599976,1135.599976,4345011800
2020-07-30,1137.199951,1137.199951,1124.599976,1126.900024,1126.900024,1403498000
2020-08-04,1140.400024,1143.300049,1064.900024,1087.199951,1087.199951,4294044700
2020-08-05,1095.300049,1100.599976,1066.099976,1091.800049,1091.800049,4574041300
2020-08-06,1090.599976,1093.699951,1033.800049,1034.400024,1034.400024,5070717200
2020-08-07,1030.300049,1062.099976,985.400024,1060.599976,1060.599976,6044999200
2020-08-10,1055.599976,1078.900024,1039.000000,1075.500000,1075.500000,3799076400
2020-08-11,1082.199951,1112.400024,1082.199951,1110.099976,1110.099976,4701037100
2020-08-12,1114.900024,1119.300049,1096.500000,1114.199951,1114.199951,4620354200
2020-08-13,1119.500000,1125.900024,1095.800049,1100.300049,1100.300049,3870889800
2020-08-14,1093.500000,1096.199951,1077.300049,1083.800049,1083.800049,3143601500
2020-08-17,1085.500000,1090.199951,1077.300049,1086.199951,1086.199951,2790529200
2020-08-18,1087.800049,1100.599976,1084.500000,1092.500000,1092.500000,2627158100
2020-08-19,1099.400024,1125.800049,1099.400024,1124.699951,1124.699951,3996964800
2020-08-20,1125.000000,1131.699951,1113.900024,1126.800049,1126.800049,4220804500
2020-08-21,1132.900024,1141.300049,1106.699951,1109.900024,1109.900024,5659230900
2020-08-24,1111.199951,1118.099976,1106.199951,1108.400024,1108.400024,3085298700
2020-08-25,1114.099976,1118.199951,1083.099976,1092.199951,1092.199951,3133299100
2020-08-26,1090.099976,1104.699951,1086.000000,1099.000000,1099.000000,3168451200
2020-08-27,1107.599976,1111.599976,1102.000000,1108.900024,1108.900024,2897594500
2020-08-28,1112.900024,1113.599976,1094.800049,1100.599976,1100.599976,2913086000
2020-08-31,1101.800049,1102.400024,1076.099976,1078.599976,1078.599976,2918914900
2020-09-01,1081.699951,1086.300049,1064.400024,1085.199951,1085.199951,2789563000
2020-09-02,1086.099976,1091.300049,1079.800049,1083.900024,1083.900024,2613688100
2020-09-03,1085.900024,1091.099976,1074.300049,1076.300049,1076.300049,2352568600
2020-09-04,1075.599976,1090.000000,1072.800049,1086.300049,1086.300049,2594136500
2020-09-07,1089.500000,1097.800049,1089.500000,1096.800049,1096.800049,2272089100
2020-09-08,1101.599976,1102.800049,1085.199951,1089.599976,1089.599976,2386368100
2020-09-09,1089.400024,1099.800049,1087.500000,1099.699951,1099.699951,3330318000
2020-09-10,1101.000000,1106.000000,1093.599976,1099.099976,1099.099976,4097641300
2020-09-11,1100.800049,1104.800049,1096.800049,1102.699951,1102.699951,2843845300
2020-09-14,1105.300049,1110.300049,1103.400024,1107.300049,1107.300049,3091678500
2020-09-15,1110.599976,1118.699951,1096.699951,1111.199951,1111.199951,3417397000
2020-09-16,1113.500000,1116.599976,1104.699951,1107.099976,1107.099976,2147144900
2020-09-17,1105.699951,1110.699951,1100.300049,1110.699951,1110.699951,2662498900
2020-09-18,1112.699951,1115.800049,1109.599976,1112.000000,1112.000000,2691021500
2020-09-21,1111.800049,1115.099976,1085.699951,1087.000000,1087.000000,3285329700
2020-09-22,1088.699951,1097.500000,1084.900024,1096.199951,1096.199951,2923680200
2020-09-23,1101.000000,1109.800049,1098.800049,1102.699951,1102.699951,2989501500
2020-09-24,1098.900024,1120.699951,1097.000000,1119.599976,1119.599976,4087385500
2020-09-25,1129.000000,1135.099976,1123.800049,1124.199951,1124.199951,3987253400
2020-09-28,1124.699951,1130.699951,1116.300049,1121.199951,1121.199951,3340709300
2020-09-29,1123.699951,1132.300049,1112.400024,1123.300049,1123.300049,3802199200
2020-09-30,1129.000000,1146.699951,1129.000000,1145.199951,1145.199951,4309357400
2020-10-01,1150.099976,1155.400024,1142.800049,1143.500000,1143.500000,3510659300
2020-10-02,1138.900024,1150.400024,1137.599976,1145.000000,1145.000000,3450389800
2020-10-05,1150.800049,1161.000000,1150.800049,1160.699951,1160.699951,2538804700
2020-10-06,1165.099976,1170.500000,1153.699951,1153.699951,1153.699951,3714641900
2020-10-07,1150.099976,1156.900024,1147.400024,1152.400024,1152.400024,3248033900
2020-10-08,1156.699951,1159.400024,1143.300049,1150.500000,1150.500000,3163287900
2020-10-09,1152.800049,1166.500000,1151.000000,1165.699951,1165.699951,3660290600
2020-10-12,1169.199951,1181.599976,1169.099976,1178.400024,1178.400024,4248628200
2020-10-13,1181.000000,1181.599976,1170.800049,1174.699951,1174.699951,3910863500
2020-10-14,1177.099976,1189.699951,1172.599976,1189.300049,1189.300049,5858456600
2020-10-15,1188.400024,1191.500000,1175.199951,1180.400024,1180.400024,4411621100
2020-10-16,1185.000000,1193.800049,1183.099976,1192.699951,1192.699951,3948957700
2020-10-19,1195.500000,1209.500000,1195.500000,1205.400024,1205.400024,4244644000
2020-10-20,1208.199951,1213.699951,1202.400024,1210.400024,1210.400024,4244963400
2020-10-21,1220.900024,1223.000000,1209.300049,1211.500000,1211.500000,4128393000
2020-10-22,1213.599976,1216.000000,1196.599976,1198.300049,1198.300049,5673161500
2020-10-23,1200.400024,1204.599976,1179.500000,1190.599976,1190.599976,4404421800
2020-10-26,1183.599976,1183.599976,1141.599976,1144.500000,1144.500000,5592181900
2020-10-27,1143.900024,1157.900024,1133.699951,1152.599976,1152.599976,5145879700
2020-10-28,1150.099976,1152.599976,1127.000000,1127.000000,1127.000000,2517117400
2020-10-30,1120.900024,1120.900024,1095.699951,1112.400024,1112.400024,6603070600
2020-11-02,1119.699951,1143.500000,1117.699951,1133.599976,1133.599976,5573290300
2020-11-03,1138.599976,1156.000000,1122.599976,1150.699951,1150.699951,4442168200
2020-11-04,1155.500000,1170.900024,1154.000000,1167.699951,1167.699951,4691755200
2020-11-05,1172.800049,1184.599976,1165.800049,1180.000000,1180.000000,4969504100
2020-11-06,1180.500000,1192.199951,1177.099976,1192.000000,1192.000000,4683698400
2020-11-09,1214.400024,1235.300049,1211.199951,1231.500000,1231.500000,5964972600
2020-11-10,1226.699951,1244.400024,1218.800049,1243.000000,1243.000000,5130828600
2020-11-11,1249.900024,1284.599976,1248.400024,1279.199951,1279.199951,8656772000
2020-11-12,1284.500000,1303.800049,1262.599976,1271.800049,1271.800049,8861019200
2020-11-13,1277.099976,1292.800049,1272.800049,1291.300049,1291.300049,5389577500
2020-11-16,1304.699951,1310.000000,1291.500000,1293.000000,1293.000000,4343358100
2020-11-17,1291.699951,1293.000000,1259.699951,1259.699951,1259.699951,4561029500
2020-11-18,1264.099976,1294.699951,1264.099976,1294.699951,1294.699951,6305883900
2020-11-19,1293.699951,1325.699951,1277.699951,1313.000000,1313.000000,9457914300
2020-11-20,1315.699951,1328.300049,1315.599976,1324.000000,1324.000000,4814313900
2020-11-23,1329.300049,1336.099976,1299.300049,1314.300049,1314.300049,5836002400
2020-11-24,1323.199951,1334.300049,1308.699951,1321.000000,1321.000000,6986828400
2020-11-25,1330.099976,1341.900024,1323.400024,1325.500000,1325.500000,5582814600
2020-11-26,1334.699951,1343.900024,1326.099976,1342.500000,1342.500000,4251432200
2020-11-27,1348.500000,1351.699951,1324.699951,1328.699951,1328.699951,5611336000
2020-11-30,1314.400024,1316.500000,1283.599976,1283.599976,1283.599976,5118634800
2020-12-01,1302.300049,1325.300049,1287.599976,1325.300049,1325.300049,4606842500
2020-12-02,1326.800049,1339.000000,1318.400024,1325.500000,1325.500000,4573173200
2020-12-03,1327.599976,1335.800049,1315.500000,1330.900024,1330.900024,5744630100
2020-12-04,1331.599976,1337.900024,1326.199951,1330.900024,1330.900024,5295296100
2020-12-07,1330.000000,1336.699951,1326.099976,1329.900024,1329.900024,4879614200
2020-12-08,1331.599976,1348.300049,1331.599976,1339.900024,1339.900024,5310555900
